Code,Summary
\tpublic int getPlayerPosition() {\n\t\treturn positions[positions.length-1];\n\t}\n,if mins or rate is less then zero throw exception
public void save preferences preference dto preference dto http servlet request request http session session theme display theme display theme display session get attribute theme display long organization theme display get scope group id account status notification service save preferences preference dto organization,checks user belongs to community and he is an admin or owner
public string get date long days new date get time post date get time 86400000 if days 7 date new else if days 14 date 1 week else if days 21 date 2 week else if days 30 date 3 week else if days 60 date 1 month else if days 90 date 2 months else if days 120 date 3 months else date format df new simple date format mmm yy date df format post date return date,new if posted less than 7days
private void validate first rental price int mims double rate if mims 0 rate 0 0 throw new invalid input exception,if mins or rate is less then zero throw exception
public void send reports this admin service send reports,not in use
public void save preferences preference dto preference dto http servlet request request http session session todo role check theme display theme display theme display session get attribute theme display long organization theme display get scope group id string user id theme display get user id string ip request get remote addr admin service save preferences preference dto get emails preference dto get timings organization user id ip,checks user belongs to community and he is an admin or owner
public boolean is session alive check if session has timedout invalidated if check session return check session return true,checks weather session has theme display
private buffered image scale to size buffered image upload image affine transform atx new affine transform atx scale 400d upload image get width 400d upload image get height affine transform op afop new affine transform op atx affine transform op type bilinear upload image afop filter upload image null return upload image,voodoo to scale the image to 200x200
private buffered image grafiti text on image buffered image upload image graphics2 d g2d upload image create graphics for int row 0 row 10 row string output null g2d set font new font sans serif font bold 16 g2d draw string output 5 row 1 20 return upload image,and scrawl the text on the image in 10 rows of 20 chars
public price value get price value price type price type price value result null if this transient price map null this price values size this transient price map size this recalculate prices map if this transient price map null this transient price map contains key price type result this transient price map get price type return result,gets the price value
"\tpublic int getPushesLowerbound() {\n\t\treturn pushesLowerbound;\n\t}\n,","""\t/**\n\t * Returns the pushes lowerbound of this board position.\n\t * \n\t * @return the pushes lowerbound\n\t */\n"","
public session open session return this session factory open session,opens a session and will not bind it to a session context
public void close if this session factory null this session factory close this session factory null,closes the session factory
private time series create price time series list hist price hist prices price type price type final time series result new time series highest for final hist price hist price hist prices result add new minute hist price get start date get time hist price get price price type return result,creates a timeseries for the pricetype of the histprices
private symbol create symbol string symbol string final symbol result new symbol result set currency eur result set symbol name symbol string result set factor 1 0 data access create result return result,creates the symbol
protected void add criteria identifier property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui exit criteria criteria identifier feature get string ui property descriptor description ui exit criteria criteria identifier feature ui exit criteria type trading package literals exit criteria criteria identifier true false false item property descriptor integral value image null null,this adds a property descriptor for the criteria identifier feature
protected void add name property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui symbol name feature get string ui property descriptor description ui symbol name feature ui symbol type trading package literals symbol name true false false item property descriptor generic value image null null,this adds a property descriptor for the name feature
protected void add symbol string property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui symbol symbol string feature get string ui property descriptor description ui symbol symbol string feature ui symbol type trading package literals symbol symbol string true false false item property descriptor generic value image null null,this adds a property descriptor for the symbol string feature
protected void add factor property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui symbol factor feature get string ui property descriptor description ui symbol factor feature ui symbol type trading package literals symbol factor true false false item property descriptor generic value image null null,this adds a property descriptor for the factor feature
protected void add currency property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui symbol currency feature get string ui property descriptor description ui symbol currency feature ui symbol type trading package literals symbol currency true false false item property descriptor generic value image null null,this adds a property descriptor for the currency feature
